,filename,partition,semantic_label,numeric_label
0,00000.png,train,colosseum,0
1,00001.png,train,petronas_towers,1
2,00002.png,train,rialto_bridge,2
3,00003.png,train,museu_nacional_dart_de_catalunya,3
4,00004.png,train,pantheon,4
5,00005.png,train,hofburg_imperial_palace,5
6,00006.png,train,berlin_cathedral,6
7,00007.png,train,hagia_sophia,7
8,00008.png,train,gaudi_casa_batllo_barcelona,8
9,00009.png,train,st_stephen_cathedral_vienna,9
10,00010.png,train,colosseum,0
11,00011.png,train,petronas_towers,1
12,00012.png,train,rialto_bridge,2
13,00013.png,train,museu_nacional_dart_de_catalunya,3
14,00014.png,train,pantheon,4
15,00015.png,train,hofburg_imperial_palace,5
16,00016.png,train,berlin_cathedral,6
17,00017.png,train,hagia_sophia,7
18,00018.png,train,gaudi_casa_batllo_barcelona,8
19,00019.png,train,st_stephen_cathedral_vienna,9
20,00020.png,train,colosseum,0
21,00021.png,train,petronas_towers,1
22,00022.png,train,rialto_bridge,2
23,00023.png,train,museu_nacional_dart_de_catalunya,3
24,00024.png,train,pantheon,4
25,00025.png,train,hofburg_imperial_palace,5
26,00026.png,train,berlin_cathedral,6
27,00027.png,train,hagia_sophia,7
28,00028.png,train,gaudi_casa_batllo_barcelona,8
29,00029.png,train,st_stephen_cathedral_vienna,9
30,00030.png,train,colosseum,0
31,00031.png,train,petronas_towers,1
32,00032.png,train,rialto_bridge,2
33,00033.png,train,museu_nacional_dart_de_catalunya,3
34,00034.png,train,pantheon,4
35,00035.png,train,hofburg_imperial_palace,5
36,00036.png,train,berlin_cathedral,6
37,00037.png,train,hagia_sophia,7
38,00038.png,train,gaudi_casa_batllo_barcelona,8
39,00039.png,train,st_stephen_cathedral_vienna,9
40,00040.png,train,colosseum,0
41,00041.png,train,petronas_towers,1
42,00042.png,train,rialto_bridge,2
43,00043.png,train,museu_nacional_dart_de_catalunya,3
44,00044.png,train,pantheon,4
45,00045.png,train,hofburg_imperial_palace,5
46,00046.png,train,berlin_cathedral,6
47,00047.png,train,hagia_sophia,7
48,00048.png,train,gaudi_casa_batllo_barcelona,8
49,00049.png,train,st_stephen_cathedral_vienna,9
50,00050.png,train,colosseum,0
51,00051.png,train,petronas_towers,1
52,00052.png,train,rialto_bridge,2
53,00053.png,train,museu_nacional_dart_de_catalunya,3
54,00054.png,train,pantheon,4
55,00055.png,train,hofburg_imperial_palace,5
56,00056.png,train,berlin_cathedral,6
57,00057.png,train,hagia_sophia,7
58,00058.png,train,gaudi_casa_batllo_barcelona,8
59,00059.png,train,st_stephen_cathedral_vienna,9
60,00060.png,train,colosseum,0
61,00061.png,train,petronas_towers,1
62,00062.png,train,rialto_bridge,2
63,00063.png,train,museu_nacional_dart_de_catalunya,3
64,00064.png,train,pantheon,4
65,00065.png,train,hofburg_imperial_palace,5
66,00066.png,train,berlin_cathedral,6
67,00067.png,train,hagia_sophia,7
68,00068.png,train,gaudi_casa_batllo_barcelona,8
69,00069.png,train,st_stephen_cathedral_vienna,9
70,00070.png,train,colosseum,0
71,00071.png,train,petronas_towers,1
72,00072.png,train,rialto_bridge,2
73,00073.png,train,museu_nacional_dart_de_catalunya,3
74,00074.png,train,pantheon,4
75,00075.png,train,hofburg_imperial_palace,5
76,00076.png,train,berlin_cathedral,6
77,00077.png,train,hagia_sophia,7
78,00078.png,train,gaudi_casa_batllo_barcelona,8
79,00079.png,train,st_stephen_cathedral_vienna,9
80,00080.png,train,colosseum,0
81,00081.png,train,petronas_towers,1
82,00082.png,train,rialto_bridge,2
83,00083.png,train,museu_nacional_dart_de_catalunya,3
84,00084.png,train,pantheon,4
85,00085.png,train,hofburg_imperial_palace,5
86,00086.png,train,berlin_cathedral,6
87,00087.png,train,hagia_sophia,7
88,00088.png,train,gaudi_casa_batllo_barcelona,8
89,00089.png,train,st_stephen_cathedral_vienna,9
90,00090.png,train,colosseum,0
91,00091.png,train,petronas_towers,1
92,00092.png,train,rialto_bridge,2
93,00093.png,train,museu_nacional_dart_de_catalunya,3
94,00094.png,train,pantheon,4
95,00095.png,train,hofburg_imperial_palace,5
96,00096.png,train,berlin_cathedral,6
97,00097.png,train,hagia_sophia,7
98,00098.png,train,gaudi_casa_batllo_barcelona,8
99,00099.png,train,st_stephen_cathedral_vienna,9
100,00100.png,train,colosseum,0
101,00101.png,train,petronas_towers,1
102,00102.png,train,rialto_bridge,2
103,00103.png,train,museu_nacional_dart_de_catalunya,3
104,00104.png,train,pantheon,4
105,00105.png,train,hofburg_imperial_palace,5
106,00106.png,train,berlin_cathedral,6
107,00107.png,train,hagia_sophia,7
108,00108.png,train,gaudi_casa_batllo_barcelona,8
109,00109.png,train,st_stephen_cathedral_vienna,9
110,00110.png,train,colosseum,0
111,00111.png,train,petronas_towers,1
112,00112.png,train,rialto_bridge,2
113,00113.png,train,museu_nacional_dart_de_catalunya,3
114,00114.png,train,pantheon,4
115,00115.png,train,hofburg_imperial_palace,5
116,00116.png,train,berlin_cathedral,6
117,00117.png,train,hagia_sophia,7
118,00118.png,train,gaudi_casa_batllo_barcelona,8
119,00119.png,train,st_stephen_cathedral_vienna,9
